AL032014,BERTHA,47,20140802,1800,,TS,17.9N,67.6W,40,1010,120,40,0,40,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140803,0000,,TS,19.2N,69.0W,40,1011,140,70,0,40,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140803,0600,,TS,20.3N,70.4W,40,1012,140,100,0,50,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140803,1200,,TS,21.4N,71.6W,40,1013,140,100,0,50,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140803,1400,L,TS,21.8N,71.9W,40,1013,140,100,0,50,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140803,1800,,TS,22.7N,72.5W,45,1012,140,100,0,50,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140804,0000,,TS,24.1N,73.1W,55,1007,140,100,0,40,40,40,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140804,0600,,TS,25.4N,73.5W,60,1004,140,100,0,40,40,40,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140804,1200,,HU,26.8N,73.6W,70,998,140,100,30,40,40,40,0,0,20,20,0,0,-999
AL032014,BERTHA,47,20140804,1800,,HU,28.5N,73.6W,70,999,120,100,30,40,40,40,0,0,20,20,0,0,-999
AL032014,BERTHA,47,20140805,0000,,HU,30.5N,73.4W,65,1001,110,100,30,30,40,40,0,0,20,20,0,0,-999
AL032014,BERTHA,47,20140805,0600,,TS,32.5N,73.2W,55,1003,110,100,30,30,40,40,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140805,1200,,TS,34.2N,72.7W,50,1005,120,100,0,0,30,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140805,1800,,TS,35.5N,71.2W,45,1006,120,120,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140806,0000,,TS,36.8N,69.3W,45,1007,120,120,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140806,0600,,TS,38.1N,66.9W,45,1007,100,120,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140806,1200,,TS,39.4N,64.1W,45,1006,100,120,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140806,1800,,EX,40.8N,61.3W,45,1002,100,140,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140807,0000,,EX,42.1N,58.4W,50,996,30,140,60,30,0,50,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140807,0600,,EX,43.4N,55.6W,45,998,30,140,60,30,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140807,1200,,EX,44.6N,52.5W,40,999,0,140,60,0,0,0,0,0,0,0,0,0,-999
